City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Benghazi,32.1167,20.0667,62.58,84,0,8.14,LY,clear sky
1,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
2,Qaanaaq,77.484,-69.3632,-7.26,70,91,1.66,GL,overcast clouds
3,Upernavik,72.7868,-56.1549,-9.85,85,4,7.05,GL,clear sky
4,Qaanaaq,77.484,-69.3632,-7.26,70,91,1.66,GL,overcast clouds
5,Qaanaaq,77.484,-69.3632,-7.26,70,91,1.66,GL,overcast clouds
6,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
7,Qaanaaq,77.484,-69.3632,-7.26,70,91,1.66,GL,overcast clouds
8,Saldanha,-33.0117,17.9442,64.44,90,0,7.29,ZA,clear sky
9,Jamestown,42.097,-79.2353,26.01,74,90,3.38,US,overcast clouds
10,Longyearbyen,78.2186,15.6401,-2.2,55,20,20.71,SJ,few clouds
11,Nanortalik,60.1432,-45.2371,31.01,91,100,8.72,GL,overcast clouds
12,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
13,Dikson,73.5069,80.5464,-35.93,81,0,8.23,RU,clear sky
14,Qaanaaq,77.484,-69.3632,-4.85,74,99,1.79,GL,overcast clouds
15,Upernavik,72.7868,-56.1549,-9.85,85,4,7.05,GL,clear sky
16,Lamu,-2.2717,40.902,78.8,78,1,8.05,KE,clear sky
17,Dikson,73.5069,80.5464,-35.5,82,0,9.01,RU,clear sky
18,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
19,Albany,42.6001,-73.9662,21.0,46,11,5.01,US,few clouds
20,Bredasdorp,-34.5322,20.0403,66.99,83,4,1.99,ZA,clear sky
21,Hermanus,-34.4187,19.2345,66.99,83,2,1.99,ZA,clear sky
22,Mikhaylovka,50.06,43.2379,33.39,93,100,12.39,RU,overcast clouds
23,Aksay,47.26,39.87,39.0,81,20,8.95,RU,few clouds
24,Hermanus,-34.4187,19.2345,66.99,83,2,1.99,ZA,clear sky
25,Hermanus,-34.4187,19.2345,66.99,83,2,1.99,ZA,clear sky
26,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
27,Codrington,-38.2667,141.9667,59.13,71,89,6.49,AU,overcast clouds
28,Beira,-19.8436,34.8389,82.4,83,20,9.22,MZ,few clouds
29,Eresos,39.1667,25.9333,51.8,87,40,16.11,GR,scattered clouds
30,Cobija,-11.0267,-68.7692,85.39,58,29,3.33,BO,scattered clouds
31,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
32,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
33,Longyearbyen,78.2186,15.6401,-2.2,55,20,20.71,SJ,few clouds
34,Jamestown,42.097,-79.2353,26.01,74,90,2.91,US,overcast clouds
35,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
36,Ouadda,8.0777,22.4007,76.42,19,45,8.32,CF,scattered clouds
37,Cayenne,4.9333,-52.3333,80.6,94,75,10.36,GF,broken clouds
38,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
39,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
40,Upernavik,72.7868,-56.1549,-9.85,85,4,7.05,GL,clear sky
41,Longyearbyen,78.2186,15.6401,-2.2,55,20,20.71,SJ,few clouds
42,Qaanaaq,77.484,-69.3632,-7.26,70,91,1.66,GL,overcast clouds
43,Springbok,-29.6643,17.8865,61.05,61,0,3.33,ZA,clear sky
